BREAK,SYNC,PID,D1,D2,D3,Chksum
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,185,4,252,178
0,85,17,0,0,0,238
0,85,8,179,4,96,223
0,85,9,185,4,96,152
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
