BREAK,SYNC,PID,D1,D2,D3,Chksum
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,202,2,252,163
0,85,17,0,0,0,238
0,85,8,202,2,96,202
0,85,9,199,2,96,140
0,85,16,,,,
0,85,16,,,,
